timestamp,symbol,side,amount,price,reason,status
2025-11-21 03:53:26.369685,THETA/USDT,sell,5073.664723502156,0.3712,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:53:26.752059,FET/USDT,sell,6399.403144288142,0.2943,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:54:41.961380,THETA/USDT,sell,5073.664723502156,0.3712,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:54:42.265776,FET/USDT,sell,6399.403144288142,0.2943,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 03:55:09.133511,THETA/USDT,sell,5073.664723502156,0.3712,SHORT_TREND_ALIGNED,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 04:06:23.055028,FLOW/USDT,sell,23031.388526754756,0.251,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 04:06:45.734334,FLOW/USDT,sell,23031.388526754756,0.251,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 04:07:08.618486,FLOW/USDT,sell,23031.388526754756,0.251,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 04:07:31.654390,FLOW/USDT,sell,23031.388526754756,0.251,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 04:07:54.446949,FLOW/USDT,sell,23031.388526754756,0.251,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 04:08:17.447948,FLOW/USDT,sell,23031.388526754756,0.251,SHORT_SQUEEZE_BREAKOUT,"FAILED: binance {""code"":-2019,""msg"":""Margin is insufficient.""}"
2025-11-21 04:13:13.292345,ARB/USDT,sell,5584.647429449152,0.2124,SHORT_SQUEEZE_BREAKOUT,FAILED: argument of type 'NoneType' is not iterable
2025-11-21 04:13:38.184969,ARB/USDT,sell,5528.105221657251,0.2124,SHORT_SQUEEZE_BREAKOUT,FAILED: argument of type 'NoneType' is not iterable
2025-11-21 04:14:01.048721,ARB/USDT,sell,5597.23086108757,0.2124,SHORT_SQUEEZE_BREAKOUT,FAILED: argument of type 'NoneType' is not iterable
2025-11-21 04:14:23.437822,ARB/USDT,sell,5504.525298269773,0.2124,SHORT_SQUEEZE_BREAKOUT,FAILED: argument of type 'NoneType' is not iterable
2025-11-21 04:14:46.227651,ARB/USDT,sell,5653.889024788135,0.2124,SHORT_SQUEEZE_BREAKOUT,FAILED: argument of type 'NoneType' is not iterable
